,pentatonicism,parallel_motion,density,rhythm_reg,syncopation,melodic_intervals,register_usage,articulation,dynamics
fold_1,0.26359364773296207,0.08416969376385887,0.14678691954637155,0.026399906143648566,0.06726870208195981,0.2590230387088255,0.0693653621661162,0.06018263283652169,0.02321009701973573
fold_2,0.4389926716096831,0.1360985478846172,0.08574134654454191,0.07331965225788772,0.1442585122482607,0.01809051438838855,0.03057468562013345,0.06340101039763067,0.00952305904885673
fold_3,0.5231296440788281,0.014339122089460723,0.0738326687946139,0.08709693438366192,0.06631853382094087,0.055483162287639304,0.042270987454254894,0.0988628821372644,0.038666064953335896
fold_4,0.15547624579132918,0.4778370038714523,0.03908977558151559,0.09239924389945126,0.043153839631828374,0.06368392450866683,0.030189254101978022,0.06157942583943878,0.03659128677433972
fold_5,0.2782061003873949,0.026952145170691125,0.0314860652402396,0.07844965924487371,0.2659330169420051,0.09271593564231263,0.050059994212713746,0.16350805954080233,0.01268902361896695
