,fold_1,fold_2,fold_3,fold_4,fold_5
fold_1,1.0,0.43333333333333335,0.18333333333333335,0.3666666666666667,0.35
fold_2,0.43333333333333335,1.0,0.41666666666666663,0.5333333333333333,0.5
fold_3,0.18333333333333335,0.41666666666666663,1.0,0.2333333333333333,0.75
fold_4,0.3666666666666667,0.5333333333333333,0.2333333333333333,1.0,0.3
fold_5,0.35,0.5,0.75,0.3,1.0
